DDT	Lect.ini	Lect.fin	Diferencia	Volumen (m3)	m3.ha	Tratamiento	Siembra
8	26171	26185	14	140	37.6344086	26 - 2021	1
9			0	0	0	26 - 2021	1
10	26268	26284	16	160	43.01075269	26 - 2021	1
11			0	0	0	26 - 2021	1
12			0	0	0	26 - 2021	1
13			0	0	0	26 - 2021	1
14	26505	26520	15	150	40.32258065	26 - 2021	1
15			0	0	0	26 - 2021	1
16			0	0	0	26 - 2021	1
17			0	0	0	26 - 2021	1
18	26699	26713	14	140	37.6344086	26 - 2021	1
19			0	0	0	26 - 2021	1
20			0	0	0	26 - 2021	1
21			0	0	0	26 - 2021	1
22	26955	26971	16	160	43.01075269	26 - 2021	1
23			0	0	0	26 - 2021	1
24			0	0	0	26 - 2021	1
25			0	0	0	26 - 2021	1
26	27185	27206	21	210	56.4516129	26 - 2021	1
27			0	0	0	26 - 2021	1
28			0	0	0	26 - 2021	1
29	27421	27442	21	210	56.4516129	26 - 2021	1
30	27521	27535	14	140	37.6344086	26 - 2021	1
31	27617	27631	14	140	37.6344086	26 - 2021	1
32	27672	27692	20	200	53.76344086	26 - 2021	1
33	27813	27827	14	140	37.6344086	26 - 2021	1
34	27904	27922	18	180	48.38709677	26 - 2021	1
35	27943	27965	22	220	59.13978495	26 - 2021	1
36	28011	28024	13	130	34.94623656	26 - 2021	1
37	28153	28168	15	150	40.32258065	26 - 2021	1
38	28186	28208	22	220	59.13978495	26 - 2021	1
39	28264	28277	13	130	34.94623656	26 - 2021	1
40	28354	28367	13	130	34.94623656	26 - 2021	1
41	28466	28480	14	140	37.6344086	26 - 2021	1
42	28535	28548	13	130	34.94623656	26 - 2021	1
43	28621	28634	13	130	34.94623656	26 - 2021	1
44	28722	28743	21	210	56.4516129	26 - 2021	1
45	28794	28807	13	130	34.94623656	26 - 2021	1
46	28887	28900	13	130	34.94623656	26 - 2021	1
47	28968	28991	23	230	61.82795699	26 - 2021	1
48	29049	29063	14	140	37.6344086	26 - 2021	1
49	29129	29141	12	120	32.25806452	26 - 2021	1
50	29213	29228	15	150	40.32258065	26 - 2021	1
51	29242	29304	62	620	166.6666667	26 - 2021	1
0			0	0	0	27-A-2021	1
1	26001	26008	7	70	16.27906977	27-A-2021	1
2	26023	26037	14	140	32.55813953	27-A-2021	1
3			0	0	0	27-A-2021	1
4	26091	26105	14	140	32.55813953	27-A-2021	1
5			0	0	0	27-A-2021	1
6	26185	26201	16	160	37.20930233	27-A-2021	1
7			0	0	0	27-A-2021	1
8	26252	26268	16	160	37.20930233	27-A-2021	1
9			0	0	0	27-A-2021	1
10	26370	26394	24	240	55.81395349	27-A-2021	1
11			0	0	0	27-A-2021	1
12			0	0	0	27-A-2021	1
13			0	0	0	27-A-2021	1
14	26582	26596	14	140	32.55813953	27-A-2021	1
15			0	0	0	27-A-2021	1
16			0	0	0	27-A-2021	1
17			0	0	0	27-A-2021	1
18	26865	26872	7	70	16.27906977	27-A-2021	1
19			0	0	0	27-A-2021	1
20			0	0	0	27-A-2021	1
21			0	0	0	27-A-2021	1
22	27064	27078	14	140	32.55813953	27-A-2021	1
23			0	0	0	27-A-2021	1
24			0	0	0	27-A-2021	1
25			0	0	0	27-A-2021	1
26	27342	27364	22	220	51.1627907	27-A-2021	1
27			0	0	0	27-A-2021	1
28			0	0	0	27-A-2021	1
29	27590	27594	4	40	9.302325581	27-A-2021	1
30	27706	27720	14	140	32.55813953	27-A-2021	1
31	27799	27813	14	140	32.55813953	27-A-2021	1
32	27871	27894	23	230	53.48837209	27-A-2021	1
33	27995	28011	16	160	37.20930233	27-A-2021	1
34	28070	28085	15	150	34.88372093	27-A-2021	1
35	28131	28153	22	220	51.1627907	27-A-2021	1
36	28232	28246	14	140	32.55813953	27-A-2021	1
37	28299	28314	15	150	34.88372093	27-A-2021	1
38	28390	28412	22	220	51.1627907	27-A-2021	1
39	28452	28466	14	140	32.55813953	27-A-2021	1
40	28569	28586	17	170	39.53488372	27-A-2021	1
41	28653	28675	22	220	51.1627907	27-A-2021	1
42	28707	28722	15	150	34.88372093	27-A-2021	1
43	28807	28823	16	160	37.20930233	27-A-2021	1
44	28900	28925	25	250	58.13953488	27-A-2021	1
45	28991	29004	13	130	30.23255814	27-A-2021	1
46	29063	29078	15	150	34.88372093	27-A-2021	1
47	29141	29164	23	230	53.48837209	27-A-2021	1
48	29228	29244	16	160	37.20930233	27-A-2021	1
49	29304	29320	16	160	37.20930233	27-A-2021	1
50	29371	29386	15	150	34.88372093	27-A-2021	1
